title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
,0.37815255,-0.36642212,-0.14955164,-0.74291575,0.26400703,0.10159542,-0.4677352,-0.43212974,0.35599914,-0.41088247,0.0019636876,0.5210082,0.417189,-0.4678339,-0.043601464,0.01856436,-0.2587196,-0.21425179,-0.07322748,0.339799,-0.13611162,0.70629555,0.23330213,0.15206106,-0.39179945,0.95864683,0.32996443,-0.20449303,0.39419425,0.27487493,0.22019485,-0.7282766,0.5486985,-0.39924198,0.106721886,0.38766354,-0.18182294,0.0803358,0.073327124,0.12131075,-0.55602616,-0.28372627,-0.30261853,-0.17420581,-0.020396652,0.5223937,0.023837877,0.04256948,-0.16971691,0.1231711,-0.21458466,-0.36259234,0.3821907,0.1326704,-0.45184323,0.23185195,-0.2639896,-0.48268843,-0.44243208,0.1593423,-0.008561022,0.3484957,0.083126314,0.32366508
,0.6081038,-0.60365045,-0.23360237,-1.2019122,0.417654,0.18436746,-0.73080164,-0.6961842,0.5858715,-0.6553651,0.0036926833,0.83554,0.6639392,-0.76770425,-0.06835026,0.006798385,-0.4071509,-0.35424972,-0.118658684,0.5513467,-0.21970716,1.1349653,0.3773892,0.24651602,-0.61282766,1.5307004,0.5329542,-0.30187768,0.62760854,0.44739795,0.36772525,-1.1703931,0.8919036,-0.63737357,0.18803325,0.626985,-0.2971046,0.1138779,0.10499397,0.21208815,-0.9056627,-0.4551415,-0.48707342,-0.2864028,-0.022894816,0.83693147,0.03654765,0.06736215,-0.26695248,0.1873734,-0.36069474,-0.58452773,0.61664855,0.21363603,-0.71800494,0.3722327,-0.4367554,-0.7839835,-0.71087664,0.26625976,-0.027841879,0.56498104,0.12130831,0.5163158
,0.36353981,-0.36453342,-0.14780581,-0.70853454,0.2607054,0.10064966,-0.43920466,-0.4047767,0.33784175,-0.3897693,-0.0022454483,0.50013214,0.39291564,-0.456494,-0.03688266,0.016500741,-0.24560767,-0.20279604,-0.07585527,0.32494104,-0.12191449,0.6679843,0.22162466,0.14145198,-0.36833373,0.91681415,0.32501486,-0.17657995,0.36510512,0.26451105,0.22048026,-0.7007936,0.5254952,-0.38545474,0.09980107,0.37933266,-0.17670389,0.078885235,0.052226495,0.115255855,-0.5369558,-0.27585003,-0.28804594,-0.1646884,-0.007239684,0.5048473,0.026693339,0.045111135,-0.16460933,0.112204105,-0.20076549,-0.35691932,0.369959,0.12351713,-0.42684188,0.22260156,-0.2577281,-0.4715175,-0.4205523,0.16222708,-0.010382583,0.32958764,0.06493764,0.30896902
,0.24455026,-0.23454246,-0.097232886,-0.4723532,0.17100658,0.071639806,-0.29651102,-0.2704185,0.23265849,-0.25621656,-0.005147823,0.32907763,0.2614057,-0.3028512,-0.019619301,0.0031724786,-0.1585223,-0.12769032,-0.047192596,0.2209752,-0.08055486,0.4435141,0.14828572,0.096129954,-0.2364661,0.59550864,0.21607377,-0.12305522,0.24587923,0.1776955,0.14851426,-0.45273647,0.34455717,-0.24918929,0.069522016,0.25280142,-0.1089579,0.0435879,0.040289078,0.08278018,-0.34740534,-0.18778555,-0.18414927,-0.113489024,-0.0031756505,0.3323396,0.015815053,0.02733016,-0.11104644,0.070138216,-0.14368054,-0.22848651,0.25210652,0.08449396,-0.2900869,0.14929678,-0.16385876,-0.30377045,-0.27982676,0.10113236,-0.0093578845,0.22228351,0.040102463,0.1968289
,0.4432024,-0.43913358,-0.17464876,-0.8737229,0.31154752,0.13455747,-0.530192,-0.5076298,0.41396838,-0.48143846,0.0075547644,0.60294706,0.4891432,-0.55810755,-0.05057604,0.0163255,-0.30335003,-0.25304165,-0.08118035,0.39665005,-0.15374342,0.81991607,0.26775685,0.1792334,-0.44088864,1.1077727,0.39166945,-0.22023231,0.46152082,0.3164068,0.26836184,-0.8441337,0.6361153,-0.46246734,0.13314475,0.45438093,-0.21309894,0.082902156,0.07428417,0.15073484,-0.657589,-0.3332718,-0.34746227,-0.20868513,-0.022112068,0.6187743,0.038383666,0.060601182,-0.20181541,0.13311686,-0.2565939,-0.43425357,0.44688228,0.14279045,-0.52756214,0.26991013,-0.32052037,-0.5656069,-0.5242462,0.1975601,-0.008163333,0.4091308,0.081516325,0.3668476
,0.47824833,-0.47602797,-0.18442091,-0.94347143,0.3285537,0.13409854,-0.57101136,-0.54194087,0.45651525,-0.51087976,-0.0016429749,0.6479597,0.51547474,-0.6007219,-0.05587926,0.01108062,-0.3135796,-0.26822314,-0.09547257,0.42966476,-0.16302995,0.8803598,0.28427288,0.19487993,-0.4715811,1.1998428,0.4164425,-0.23621352,0.48315024,0.3397028,0.2862605,-0.9143703,0.69601643,-0.5012671,0.13725403,0.48841017,-0.2367841,0.09312916,0.07383049,0.14846733,-0.7086006,-0.3581888,-0.37479627,-0.22042532,-0.025968859,0.6549537,0.026444495,0.057340875,-0.21080647,0.14670852,-0.27499154,-0.4670474,0.48078275,0.15597576,-0.56517017,0.29664406,-0.33876967,-0.6174256,-0.5590526,0.2055335,-0.023980537,0.43171325,0.086495265,0.40663597
,0.4960054,-0.4970189,-0.19475065,-0.9963301,0.35513437,0.1483315,-0.60741335,-0.579191,0.46728012,-0.5360101,-0.004286899,0.68477154,0.54411614,-0.6227327,-0.0506422,0.019519266,-0.33145353,-0.2835528,-0.10806091,0.45580783,-0.1781521,0.9323851,0.2987123,0.21379831,-0.4945033,1.253202,0.43947333,-0.25589946,0.52660227,0.37026334,0.30810517,-0.96489495,0.7255951,-0.5141892,0.14518155,0.5200902,-0.24078543,0.10199692,0.08488785,0.1647164,-0.7354807,-0.39138243,-0.39279506,-0.22681072,-0.022396555,0.68829346,0.037983835,0.058151614,-0.22254448,0.14186642,-0.29893798,-0.4866031,0.51697665,0.17787842,-0.59967005,0.311592,-0.35267082,-0.63809425,-0.5803258,0.21904424,-0.010398974,0.45525864,0.10172094,0.42064807
,0.52172923,-0.5313853,-0.20753714,-1.051722,0.36957085,0.1516322,-0.63177806,-0.59341824,0.49324685,-0.5714048,0.0041154022,0.72146803,0.5824008,-0.663544,-0.060462225,0.016471526,-0.35893688,-0.2927894,-0.111551136,0.47146204,-0.19276413,0.9797943,0.32054684,0.21586186,-0.5339193,1.3254594,0.46129772,-0.26940027,0.54928863,0.37999737,0.31315017,-1.0106947,0.77218705,-0.5445487,0.16139318,0.54131573,-0.25017148,0.10331476,0.08347242,0.17254308,-0.7843323,-0.39573985,-0.41103294,-0.24541321,-0.02581954,0.7257457,0.028102053,0.06593498,-0.23904862,0.15193288,-0.30384454,-0.511356,0.5285081,0.17565994,-0.6229578,0.32851747,-0.37651026,-0.6714968,-0.61728835,0.22751763,-0.02541059,0.4919655,0.096998185,0.4428737
,0.39526236,-0.38192222,-0.15045305,-0.7734744,0.2722905,0.11608209,-0.4758547,-0.44785565,0.37674952,-0.43199486,-0.007905851,0.54002404,0.43457887,-0.4901056,-0.040205274,0.010487234,-0.26384738,-0.22172385,-0.078123644,0.35449857,-0.13087586,0.72452444,0.23964842,0.15506364,-0.4023586,0.9928739,0.33662277,-0.20119381,0.40842462,0.2798069,0.23747396,-0.75839853,0.5661405,-0.41448885,0.112424605,0.40435138,-0.18465924,0.07264663,0.07224317,0.12469283,-0.58739495,-0.30662698,-0.31156605,-0.18006557,-0.019235063,0.54248184,0.025062416,0.04750443,-0.16832839,0.12042662,-0.22638328,-0.38850617,0.39728585,0.13251989,-0.45958686,0.24515243,-0.2817762,-0.49515048,-0.4512544,0.17168434,-0.0053864825,0.36007065,0.06860229,0.32919785
,0.5393784,-0.52752876,-0.20009439,-1.0434011,0.37913266,0.16058636,-0.6385448,-0.6092887,0.50853056,-0.58094406,-0.0025641022,0.72220886,0.578857,-0.66930276,-0.05333723,0.01606878,-0.36859885,-0.30064282,-0.10502668,0.4846472,-0.18506274,0.9977133,0.3279527,0.21533024,-0.53254384,1.3398198,0.465115,-0.26054358,0.5562351,0.39430413,0.31168208,-1.028425,0.7708613,-0.5540553,0.15964645,0.54604745,-0.26111293,0.10404967,0.09023673,0.18425377,-0.7844312,-0.40310258,-0.41551372,-0.24506462,-0.025857754,0.7432583,0.033350036,0.056732893,-0.22577712,0.16525528,-0.3104708,-0.50645,0.541662,0.18598934,-0.62212133,0.3235314,-0.38680828,-0.67668474,-0.6282692,0.23847513,-0.014197533,0.494642,0.095552936,0.45187926
,0.4034859,-0.40036237,-0.15935302,-0.80610764,0.2847405,0.11114191,-0.49535918,-0.46302798,0.39185137,-0.44117475,0.0031498577,0.56168014,0.44177467,-0.50217533,-0.04769239,0.019011425,-0.2847544,-0.23045516,-0.083193004,0.37528443,-0.1358109,0.7520316,0.24405345,0.17484117,-0.40963775,1.0223296,0.36793476,-0.21033084,0.4210609,0.2993077,0.24680382,-0.7803336,0.5837484,-0.42614362,0.12408766,0.4239114,-0.20504785,0.08613271,0.067275226,0.13995437,-0.6019276,-0.3105258,-0.33226675,-0.1840777,-0.014669212,0.57116914,0.0334809,0.044033475,-0.18171743,0.11668691,-0.23584256,-0.3946933,0.4208789,0.13237634,-0.48101476,0.24896409,-0.29754865,-0.51753813,-0.4834763,0.17339759,-0.016359368,0.36838475,0.072751775,0.3364228
,0.40537894,-0.39367422,-0.16027,-0.79655415,0.28328186,0.109446295,-0.5002113,-0.46319452,0.38133073,-0.4411063,0.0017923649,0.5592701,0.4469694,-0.5019241,-0.04612822,0.020118317,-0.27751064,-0.23002243,-0.07817791,0.36436513,-0.14571045,0.7572335,0.2501519,0.16319335,-0.41932076,1.027076,0.3535149,-0.21768288,0.42254874,0.29454738,0.23623817,-0.78105205,0.5886029,-0.42729884,0.114702865,0.41559705,-0.19447842,0.08618101,0.07832453,0.12959921,-0.5971272,-0.30454355,-0.32390097,-0.18634799,-0.021621127,0.5601479,0.025245445,0.045809552,-0.18196256,0.13203336,-0.23080419,-0.389678,0.40881607,0.14214984,-0.4837926,0.24893136,-0.28410032,-0.51784706,-0.473694,0.17140268,-0.008645772,0.3741033,0.08807267,0.34720784
,0.59835804,-0.59375983,-0.2297122,-1.1826277,0.40956414,0.18123037,-0.71933085,-0.68454105,0.57649934,-0.6438581,0.0043053804,0.82181746,0.6531658,-0.75598395,-0.066423185,0.0061047245,-0.40009674,-0.34837288,-0.11703868,0.5428224,-0.21635126,1.1172534,0.3706988,0.24257867,-0.60277647,1.5053762,0.5247976,-0.29766804,0.6179506,0.43988416,0.36109197,-1.1508795,0.878012,-0.6278133,0.18520467,0.61705744,-0.29268673,0.111151986,0.10384951,0.2092487,-0.89156854,-0.44742942,-0.48015413,-0.281363,-0.022367097,0.8227711,0.035125405,0.0656723,-0.26295808,0.1839818,-0.35497802,-0.57522225,0.6055021,0.21067587,-0.70672476,0.36611465,-0.4293238,-0.7723546,-0.6989976,0.26265466,-0.02813047,0.5558912,0.11884512,0.5080248
