title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,0.18916513,-0.24375987,0.40978208,-0.5693081,-0.3822102,0.06726721,0.26855078,0.19375077,-0.56689423,0.31043568,0.09579591,-0.54745865,-0.44519505,-0.5064037,-0.19227146,0.6175905,0.06638212,0.61194885,1.4227076,0.03930138,-0.15797888,-0.010579251,-0.9137173,-0.022060858,-0.7081958,0.12910661,1.0650486,0.24447837,0.29544196,0.22693801,-0.23893507,-0.31387416
,0.28621343,-0.36654693,0.64030796,-0.90248066,-0.60691214,0.09567037,0.45746246,0.31614617,-0.89048725,0.47782978,0.14080249,-0.8601319,-0.7277539,-0.83600247,-0.34053767,1.0224202,0.10181872,1.0136782,2.2649107,0.07104021,-0.24988471,-0.018113928,-1.4460186,-0.03827022,-1.1372311,0.23845732,1.7097011,0.423299,0.46752372,0.35154155,-0.35179755,-0.4820237
,0.17217186,-0.2250623,0.39681998,-0.5319124,-0.3631126,0.043472137,0.27558205,0.18991141,-0.5323785,0.28327113,0.09070634,-0.5278633,-0.4284312,-0.5155302,-0.1943593,0.5957218,0.06401967,0.6137998,1.3660693,0.044892628,-0.14062561,-0.0029014172,-0.8696544,-0.014549053,-0.67586565,0.14552008,1.0105785,0.2510452,0.2646998,0.20505856,-0.20067443,-0.29573518
,0.10563973,-0.17377482,0.2747854,-0.3834571,-0.2525597,0.053332068,0.19967361,0.14080912,-0.36230057,0.19208857,0.06870741,-0.36050045,-0.31172597,-0.3544967,-0.14768553,0.42032197,0.03075703,0.4211684,0.9469181,0.032099344,-0.111342326,0.007090394,-0.6199249,-0.021878852,-0.48273003,0.09875387,0.70926225,0.16891427,0.18290204,0.15526731,-0.1379958,-0.2203465
,0.221211,-0.278835,0.49587134,-0.6552877,-0.4664457,0.06964411,0.34994364,0.2461352,-0.6564987,0.34795183,0.090623364,-0.6370972,-0.5394501,-0.62183213,-0.25126132,0.75808865,0.08622536,0.73798823,1.68904,0.034579888,-0.20508194,-0.013362356,-1.0943077,-0.013615643,-0.83588916,0.1693663,1.2572194,0.2911009,0.34917045,0.28201374,-0.2629286,-0.36683226
,0.21190713,-0.28923982,0.48862147,-0.68319684,-0.47409394,0.070723474,0.33988792,0.25847352,-0.6784666,0.3664519,0.10539024,-0.6627014,-0.54846203,-0.6487291,-0.2508392,0.77062315,0.076472715,0.77930516,1.7520853,0.026106745,-0.20286863,0.003432024,-1.1162051,-0.03604032,-0.85267884,0.17077935,1.3007492,0.31941772,0.3437687,0.27595598,-0.28671455,-0.38106263
,0.2178618,-0.2887931,0.541864,-0.7212611,-0.5081014,0.07144267,0.3649237,0.25223264,-0.7083551,0.37991273,0.11233924,-0.7033983,-0.5712888,-0.6819367,-0.26257345,0.8226184,0.08142388,0.80800414,1.8111023,0.042307094,-0.21536545,-0.0007596547,-1.1841878,-0.030437239,-0.9070953,0.20833163,1.3978776,0.33195934,0.37283266,0.28731954,-0.2961569,-0.39505228
,0.2546508,-0.30913055,0.5643079,-0.7632632,-0.524971,0.087840214,0.3827739,0.2745927,-0.7411165,0.40149793,0.11678742,-0.7549414,-0.6384341,-0.7184203,-0.28030634,0.8536596,0.08375869,0.8393538,1.925762,0.054637928,-0.22866881,0.008506546,-1.2450564,-0.039740138,-0.9737317,0.19708857,1.4593331,0.34733453,0.407667,0.30629122,-0.3133479,-0.41490638
,0.17482412,-0.25349227,0.450709,-0.5781263,-0.40416273,0.057097908,0.29123792,0.22126774,-0.59781045,0.316491,0.10322526,-0.5896285,-0.48581377,-0.56768227,-0.23537482,0.6356478,0.06973648,0.6609415,1.5144844,0.033222128,-0.16221178,-0.011523018,-0.96696526,-0.027184715,-0.7694426,0.15570879,1.1123866,0.26861647,0.29873702,0.21841754,-0.23201433,-0.34300914
,0.24238785,-0.34248322,0.5733858,-0.8130476,-0.55853593,0.07597578,0.40792435,0.30897373,-0.789519,0.4309457,0.12860419,-0.77073175,-0.63577294,-0.7677902,-0.28884536,0.88475114,0.08408714,0.90835226,2.0270157,0.03863647,-0.23157138,0.01214996,-1.2988012,-0.03992156,-0.9928096,0.2124385,1.5287704,0.3804082,0.40425444,0.32682908,-0.301699,-0.44165117
