title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
,0.27786386,-0.3186164,-0.1307623,-0.62029415,0.17200588,0.08806801,-0.40083852,-0.34154278,0.31120804,-0.31537017,0.014366186,0.4399861,0.29404038,-0.3224169,-0.016528288,0.027170163,-0.2715352,-0.19249275,-0.099187575,0.26041275,-0.079465754,0.56591076,0.15343808,0.14830396,-0.29708531,0.7434761,0.1986234,-0.16036087,0.3166752,0.18489411,0.1401474,-0.5471648,0.43596086,-0.3430481,0.06582329,0.31636354,-0.12906004,0.055449873,0.060507245,0.10042424,-0.4605922,-0.22572209,-0.18930314,-0.19129936,-0.013976672,0.38204524,0.019941565,-0.025184067,-0.11260551,0.12505057,-0.1551737,-0.31586507,0.3400201,0.120707385,-0.34255135,0.18500172,-0.1781186,-0.38103527,-0.33308175,0.12453789,0.03437756,0.33560044,0.03834428,0.2273284,0.19507545,-0.19773649,-0.19292504,-0.16992548,-0.0056677912,0.12653928,-0.17032678,0.36130273,0.5240996,0.13989432,-0.13678305,-0.037401024,0.044533942,-0.026052298,0.40657952,0.14954194,0.0313476,0.2159924,-0.000607079,0.0628313,0.66841733,0.23819609,0.02522014,0.19500011,-0.05800101,-0.039586436,0.103344,0.019684127,0.26417857,-0.19431287,-0.14691564,0.28214237,0.2875946,-0.46535528,0.4043277,-0.0028041664,0.38541827,0.6620024,-0.07222306,0.28921703,0.1669567,-0.09567414,0.08201105,0.29426965,0.07316687,-0.112834126,0.16840257,-0.12747975,0.255092,-0.11019059,-0.18256855,-0.24190035,-0.5657733,0.45907196,-0.055855744,-0.7400979,0.31915796,-0.08886801,-0.6617909,-0.0707637,-0.0037682457,0.13618034,0.22709486,0.09436937
,0.41776758,-0.48557508,-0.19430944,-0.936956,0.25469407,0.14211161,-0.59372824,-0.5147739,0.47440726,-0.47188738,0.022125196,0.6600994,0.4388532,-0.4925812,-0.024285989,0.029279416,-0.4046562,-0.2933991,-0.15065414,0.3934253,-0.119586475,0.8511641,0.2314884,0.22398466,-0.43983638,1.1136625,0.3005158,-0.2300496,0.4735539,0.28067192,0.21743679,-0.8218447,0.66036487,-0.51422393,0.10657411,0.47735125,-0.19682209,0.07559242,0.08593086,0.15939817,-0.6975809,-0.33909264,-0.28556445,-0.29089707,-0.016900823,0.57208896,0.028973388,-0.03855981,-0.16678798,0.18320532,-0.24069989,-0.47580284,0.512737,0.18212238,-0.5111391,0.27763584,-0.27357703,-0.5776869,-0.50085986,0.19232976,0.044563055,0.50699633,0.052676544,0.3402814,0.29713959,-0.29294276,-0.29121876,-0.24957114,-0.008531008,0.19043893,-0.25137606,0.55081457,0.78843594,0.21373504,-0.21393208,-0.05650315,0.06207493,-0.04095466,0.6073434,0.22085157,0.046365544,0.3278412,0.0044996985,0.09220033,1.0048679,0.37055916,0.032538727,0.28808826,-0.08566541,-0.05425748,0.1541949,0.023664126,0.3978359,-0.29019734,-0.22411142,0.41989112,0.43595868,-0.6965326,0.6074681,-0.0048517343,0.5828747,0.999433,-0.109599024,0.43327284,0.25836974,-0.13681825,0.12092885,0.4398001,0.11657024,-0.17530406,0.25155506,-0.19585297,0.38342696,-0.16723463,-0.27763188,-0.3657039,-0.85137427,0.6928693,-0.086064585,-1.1154071,0.47819677,-0.1292746,-0.9997756,-0.11161277,-0.0036767256,0.20733286,0.33519793,0.13626097
,0.2576787,-0.3004921,-0.12312323,-0.5716808,0.16289844,0.08271196,-0.36677974,-0.31190294,0.2861233,-0.28960845,0.010957216,0.40676588,0.2681981,-0.30235144,-0.0131214,0.024427917,-0.2498697,-0.17595145,-0.0949638,0.2401966,-0.069013156,0.5189836,0.14122373,0.13492125,-0.27170545,0.6863437,0.18807158,-0.13970236,0.28633374,0.17106088,0.13440377,-0.5065641,0.4028757,-0.31808063,0.05998634,0.29602376,-0.12051802,0.05187555,0.047307298,0.092461444,-0.4271646,-0.21071579,-0.17404914,-0.17586517,-0.007012681,0.35473245,0.020241357,-0.02158464,-0.10538076,0.113034576,-0.14133546,-0.29644948,0.31614503,0.109558076,-0.31406298,0.1713382,-0.16665,-0.35645238,-0.3066816,0.11944994,0.030790016,0.30706155,0.028781854,0.20935924,0.18370894,-0.18096827,-0.17606914,-0.15724291,-0.007001613,0.11689075,-0.15590799,0.33435714,0.48814666,0.13053207,-0.12733097,-0.030055195,0.037908584,-0.025320534,0.37394935,0.13341074,0.030569563,0.20370315,0.005424236,0.054580785,0.6109264,0.22410293,0.019526731,0.17434794,-0.05235557,-0.033235174,0.09426817,0.011379172,0.24246085,-0.17729771,-0.13922256,0.25838944,0.26786333,-0.4312683,0.3751359,0.000770506,0.35388508,0.6088645,-0.067294106,0.26243868,0.15407999,-0.08205194,0.070247136,0.26752266,0.06738618,-0.109309055,0.14885865,-0.122298226,0.23563473,-0.098435655,-0.1642841,-0.22225386,-0.524736,0.42603347,-0.057796437,-0.68623304,0.2934999,-0.076244585,-0.60864204,-0.067434356,-0.0049268827,0.1274855,0.20649497,0.084813684
,0.1569693,-0.17795192,-0.07419404,-0.34510723,0.0971199,0.05205909,-0.22337848,-0.18858738,0.17628214,-0.17340386,0.004683526,0.24384105,0.16232726,-0.18248646,-0.005257367,0.010703903,-0.14845043,-0.10291536,-0.055949204,0.14741954,-0.0416672,0.31251824,0.08540239,0.08225945,-0.15970066,0.40762585,0.11366726,-0.08684447,0.17397197,0.10413663,0.082356974,-0.29978946,0.24052857,-0.18889289,0.037420724,0.17910373,-0.06884488,0.027212897,0.031176709,0.058934897,-0.25310755,-0.1293799,-0.10137815,-0.107858226,-0.003471265,0.21268599,0.011433572,-0.014168189,-0.06408601,0.06589382,-0.089733474,-0.17451729,0.19366923,0.067590356,-0.19266447,0.1035283,-0.09689794,-0.21077134,-0.18484744,0.06918797,0.017425735,0.1870551,0.015864765,0.12250408,0.108719595,-0.110078156,-0.106704555,-0.08945167,-0.00097372243,0.071009114,-0.09023065,0.20351587,0.29182592,0.08194527,-0.07564783,-0.023352517,0.020370511,-0.012069514,0.22833978,0.084482476,0.017056547,0.12384008,0.004473465,0.037680108,0.3727069,0.13345683,0.014868676,0.109124,-0.029545076,-0.015878856,0.059840254,0.0075453566,0.14794302,-0.10471287,-0.08106041,0.1588633,0.1561039,-0.2560912,0.22676912,-0.00064772577,0.21149157,0.36653256,-0.03865641,0.15972686,0.09162663,-0.052350692,0.048450552,0.15696478,0.04005426,-0.066895746,0.096011005,-0.07378837,0.13940297,-0.060789444,-0.09785763,-0.13707818,-0.3163857,0.25780424,-0.032792114,-0.41422385,0.18162014,-0.04429748,-0.36342114,-0.03729132,-0.003087375,0.07674472,0.12676446,0.05477685
,0.2780784,-0.32285112,-0.13117947,-0.6221202,0.17292273,0.09494788,-0.3936651,-0.34315962,0.30947363,-0.31600973,0.017115204,0.4363145,0.29508454,-0.3275712,-0.017127244,0.024698168,-0.2724304,-0.19299836,-0.09735271,0.2595634,-0.07696096,0.5624606,0.15089269,0.14820729,-0.28968707,0.73732394,0.20148052,-0.1526273,0.31708494,0.18201186,0.1452834,-0.54289293,0.4329788,-0.34097672,0.069566205,0.31625113,-0.12938826,0.050259966,0.0556593,0.10459432,-0.46306247,-0.22663178,-0.18619859,-0.19368316,-0.014023314,0.38520575,0.024746438,-0.020146586,-0.11472024,0.12017427,-0.15675399,-0.3203633,0.339845,0.1147896,-0.34221444,0.18373802,-0.1835098,-0.38154322,-0.33667028,0.12936229,0.03556124,0.33595294,0.031991888,0.22145751,0.19597174,-0.19596124,-0.19481757,-0.16281368,-0.007396612,0.1278322,-0.17137901,0.36045748,0.52173185,0.14182957,-0.13827276,-0.031817954,0.04021493,-0.022401607,0.40274715,0.14784972,0.032315027,0.21803816,0.004109638,0.05884804,0.66546834,0.24366619,0.0254528,0.19222009,-0.056507315,-0.033255275,0.10443241,0.014462985,0.26643643,-0.18880205,-0.14794888,0.2825647,0.28629708,-0.46689045,0.40234596,-0.0037075386,0.38237286,0.6614017,-0.069738165,0.28549626,0.17138572,-0.090858854,0.08481701,0.29014787,0.075444154,-0.11382269,0.1694705,-0.13204524,0.25588363,-0.11240675,-0.18122433,-0.23994118,-0.56226104,0.45902953,-0.062236935,-0.74345297,0.32261726,-0.08806824,-0.6565495,-0.07085411,-0.003902027,0.1372418,0.219048,0.08857498
,0.33972052,-0.3953481,-0.15718468,-0.75968415,0.20713477,0.10994359,-0.4798698,-0.41600904,0.38307187,-0.3811283,0.015170786,0.53119326,0.3535137,-0.39908272,-0.020678118,0.026624406,-0.3244658,-0.23315784,-0.12336849,0.31795993,-0.09236624,0.6850928,0.1819974,0.1831023,-0.3515686,0.90235233,0.24317187,-0.18646547,0.3795845,0.22196545,0.17543149,-0.6655332,0.533133,-0.41717994,0.081759885,0.38550746,-0.16145475,0.06342277,0.06533598,0.12050177,-0.5650764,-0.27582613,-0.2279319,-0.23330851,-0.017393576,0.4634992,0.022368861,-0.028972061,-0.13615914,0.14854284,-0.19159961,-0.38973117,0.4136744,0.14219595,-0.41624814,0.22727212,-0.22003877,-0.46883154,-0.40694916,0.15397617,0.034894645,0.4045406,0.038742304,0.27689198,0.23778528,-0.2402861,-0.23094389,-0.20326044,-0.009494191,0.14747207,-0.20787811,0.4410854,0.6416001,0.17176574,-0.17056105,-0.04602191,0.05016329,-0.035266556,0.49621347,0.18226969,0.039673455,0.26617727,0.0041624317,0.0729953,0.81514806,0.29604682,0.025888562,0.2369774,-0.06929959,-0.04092928,0.12275041,0.021865873,0.32559234,-0.2305052,-0.18330353,0.33698714,0.34754264,-0.5660211,0.49433476,-0.0031939184,0.47130483,0.8035847,-0.08515155,0.35229886,0.21058819,-0.11078332,0.10213987,0.35189563,0.08758898,-0.1414824,0.20419595,-0.1558031,0.30719724,-0.1337781,-0.22186366,-0.2955606,-0.6896155,0.56080776,-0.074151576,-0.89783365,0.39018068,-0.10331106,-0.80248994,-0.087134056,-0.008535826,0.16476464,0.27037215,0.10771611
,0.3305882,-0.38687,-0.15521194,-0.74896485,0.20884916,0.1121471,-0.47509876,-0.41202155,0.36999357,-0.37343347,0.013984553,0.52317226,0.34857687,-0.38729993,-0.01711878,0.029736402,-0.31936082,-0.22978489,-0.12516406,0.31422096,-0.09377331,0.67585063,0.17809378,0.18317464,-0.34393314,0.8818463,0.2386475,-0.18594804,0.381124,0.22373626,0.17571123,-0.6551403,0.521094,-0.40365243,0.080097586,0.38222355,-0.15480264,0.064688936,0.066797905,0.1224189,-0.5492354,-0.27763498,-0.2232711,-0.2274799,-0.01482737,0.45561755,0.026991824,-0.029281028,-0.13430962,0.1394499,-0.19240683,-0.38018015,0.41194093,0.14570507,-0.41123247,0.22349103,-0.21378943,-0.45556256,-0.39637858,0.15344532,0.04133972,0.39775905,0.043050483,0.26802436,0.23557891,-0.23027532,-0.22771335,-0.20053723,-0.008802352,0.15027167,-0.19891883,0.43698457,0.6246068,0.16971645,-0.16628088,-0.040987734,0.05117965,-0.03282527,0.48303646,0.17469415,0.02948064,0.26060534,0.0038899176,0.07481685,0.80175203,0.28625944,0.025914043,0.23285073,-0.0649714,-0.04120096,0.12093818,0.017446958,0.3163273,-0.22456671,-0.18051603,0.3343476,0.3473037,-0.55749387,0.48356247,-0.0052958583,0.45949742,0.79102224,-0.08649087,0.34378478,0.20704359,-0.11216062,0.097943984,0.34721783,0.08944383,-0.13855633,0.19920117,-0.15232502,0.3027701,-0.1345101,-0.2224264,-0.29387307,-0.675332,0.5522122,-0.07170209,-0.8902872,0.38816497,-0.09895044,-0.79213923,-0.08296128,-0.0056518116,0.16184051,0.26170936,0.107070826
,0.34544975,-0.40843436,-0.1644623,-0.78579897,0.21625763,0.11447927,-0.49363536,-0.4241553,0.3884595,-0.39501044,0.01896004,0.5483996,0.36959627,-0.40986845,-0.021230342,0.02943648,-0.340318,-0.23753643,-0.1295121,0.32483226,-0.10109089,0.7072209,0.19003582,0.18747126,-0.36730176,0.92733246,0.24941209,-0.19520628,0.39683768,0.22961481,0.1784859,-0.68335134,0.5501446,-0.42475685,0.08871199,0.39677033,-0.16012883,0.065448575,0.067464836,0.12736855,-0.5807716,-0.28284195,-0.23230395,-0.24140947,-0.01719538,0.477389,0.022503339,-0.02860685,-0.14319059,0.14780748,-0.19630598,-0.39844862,0.42425,0.14664318,-0.42665917,0.23383257,-0.22668703,-0.47729957,-0.41800547,0.1585377,0.036106806,0.42361724,0.039777156,0.28093147,0.24088709,-0.24211891,-0.24053745,-0.20957434,-0.012134565,0.15760757,-0.21300836,0.45349914,0.65869766,0.17507705,-0.17862521,-0.04316227,0.052624565,-0.034304418,0.5123741,0.1841219,0.03442939,0.27249014,0.0006260775,0.07619945,0.8388197,0.30387837,0.026481224,0.23729436,-0.06957076,-0.042363085,0.12884548,0.024923967,0.33099833,-0.2363234,-0.18950929,0.35173008,0.35936192,-0.58351755,0.5089609,-0.008034497,0.48778182,0.8311699,-0.08708347,0.3635776,0.21307425,-0.11612706,0.09863585,0.36147755,0.0947702,-0.14122017,0.21418212,-0.1595628,0.32205048,-0.13886587,-0.22774194,-0.307102,-0.7076112,0.5746631,-0.077575035,-0.9272941,0.4026006,-0.10633393,-0.8265219,-0.09236561,-0.008060786,0.17026633,0.28301162,0.11709323
,0.27896258,-0.31853157,-0.12873434,-0.6213699,0.17110592,0.09353322,-0.39616072,-0.3410411,0.31422618,-0.31778115,0.009520755,0.4384912,0.29499063,-0.32483235,-0.01480712,0.022805268,-0.2691238,-0.19160259,-0.100859135,0.26067674,-0.073848635,0.5616439,0.15244563,0.14668971,-0.29496258,0.74218905,0.19570963,-0.1557697,0.31619573,0.18183655,0.14414829,-0.5476732,0.43370193,-0.3435185,0.0673423,0.31678382,-0.1266758,0.05010868,0.05857262,0.099833935,-0.46444997,-0.23126994,-0.18763095,-0.19077763,-0.013548952,0.38135445,0.020330157,-0.023543475,-0.10881167,0.12182433,-0.15717413,-0.3216291,0.34029734,0.117996916,-0.33795708,0.18638836,-0.18216248,-0.37784106,-0.3292316,0.12787314,0.035404526,0.3341701,0.030261314,0.22362648,0.20013538,-0.19039737,-0.19545795,-0.16591693,-0.011844527,0.12838642,-0.16713442,0.36024103,0.52397895,0.14505953,-0.14054494,-0.03717288,0.038136464,-0.025362635,0.4088438,0.15032256,0.02823911,0.22149976,0.002847663,0.06375927,0.6651722,0.24263921,0.027697887,0.19342324,-0.059128474,-0.035362843,0.10055116,0.014447241,0.26788425,-0.1912491,-0.14592846,0.28360522,0.2851501,-0.46620485,0.40937224,-0.006105459,0.38159695,0.66157115,-0.07008175,0.28867885,0.17040823,-0.086881824,0.078825556,0.287335,0.07864737,-0.11597217,0.16430314,-0.13169481,0.25652134,-0.110909864,-0.18134376,-0.24166052,-0.5653554,0.46202657,-0.06300615,-0.74446404,0.32097954,-0.08483546,-0.6605145,-0.07325051,-0.0020175208,0.13381596,0.21869336,0.088927194
,0.34690794,-0.39820144,-0.15674654,-0.76483196,0.21571542,0.11658813,-0.4865007,-0.423082,0.38760367,-0.39115483,0.014659218,0.5374268,0.3592824,-0.40326145,-0.017155213,0.028880438,-0.33810776,-0.23639765,-0.124198094,0.3242052,-0.09503748,0.70071256,0.1895595,0.18307899,-0.35880023,0.9143274,0.24556711,-0.18652382,0.39208823,0.23154633,0.17407477,-0.6772125,0.5377946,-0.41996375,0.08543635,0.39042532,-0.16216326,0.06442297,0.06937673,0.13057007,-0.56894094,-0.2804413,-0.22902092,-0.23629066,-0.016610656,0.47535595,0.024394223,-0.032958575,-0.1329934,0.1509911,-0.19498864,-0.38752124,0.42163578,0.1493575,-0.41697922,0.22656587,-0.22695507,-0.46950537,-0.4143196,0.16015431,0.041415114,0.41638607,0.038165584,0.27926114,0.2434792,-0.24486522,-0.23503298,-0.20654097,-0.00840546,0.1522331,-0.20960347,0.44468457,0.6453937,0.1731614,-0.17494628,-0.04072946,0.052046273,-0.031216322,0.5010722,0.17907107,0.03494746,0.26642543,5.0254774e-05,0.0798909,0.82493633,0.29764575,0.027259076,0.23589596,-0.06643777,-0.044546273,0.13085423,0.017129196,0.3300698,-0.23310544,-0.18393442,0.34607747,0.35351297,-0.57128036,0.50044584,-0.004679243,0.47710156,0.8184906,-0.08628507,0.35695428,0.20972416,-0.11161124,0.097370565,0.3606533,0.095735416,-0.14178544,0.20593666,-0.15617016,0.31258798,-0.1347483,-0.22259471,-0.30079213,-0.6947395,0.5678553,-0.07403333,-0.9129297,0.39664543,-0.10836396,-0.8181599,-0.090470895,-0.0029175617,0.16443975,0.27150673,0.10923576
