title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,0.5163964,-0.39122534,0.63519645,-1.0425932,-0.76960003,0.31930202,0.428595,0.12641795,-0.9194514,0.56374866,0.22957027,-0.9645926,-0.80380845,-0.8130411,-0.22236186,1.0834615
,0.8029993,-0.5821942,0.9901092,-1.664617,-1.2310256,0.484348,0.75285155,0.2187964,-1.4564286,0.87548834,0.3545112,-1.522799,-1.3292651,-1.3583057,-0.4246298,1.8058324
,0.4955436,-0.36655167,0.6344253,-0.99671793,-0.75050795,0.26561633,0.45688888,0.13467376,-0.8828319,0.5267522,0.2250383,-0.95275486,-0.80180097,-0.8612771,-0.23876478,1.0700836
,0.3084686,-0.2860308,0.42860073,-0.7100197,-0.5138466,0.2313037,0.32991955,0.108085394,-0.5901276,0.3511765,0.16783574,-0.63847405,-0.5734946,-0.57875335,-0.18747681,0.74227154
,0.6186495,-0.44756934,0.7776035,-1.2102559,-0.9503004,0.35837507,0.5765271,0.18377572,-1.0758973,0.63820094,0.23574626,-1.1285406,-0.9931506,-1.0113232,-0.31021783,1.3447376
,0.59606904,-0.45849863,0.7516888,-1.2514209,-0.9577508,0.36858478,0.55077606,0.19667223,-1.0998724,0.6694045,0.26340407,-1.1645836,-0.99703246,-1.0540242,-0.30272284,1.3519539
,0.6214169,-0.45200256,0.83807313,-1.3276844,-1.0198929,0.38040355,0.59103954,0.16991234,-1.1520269,0.6909862,0.28100252,-1.2432199,-1.0364991,-1.1057794,-0.30712232,1.4512137
,0.71209085,-0.49452898,0.88132095,-1.412841,-1.0694739,0.4263286,0.62852365,0.18991435,-1.2094864,0.7338016,0.29825345,-1.3456314,-1.1783955,-1.1710908,-0.33841205,1.5127648
,0.49712187,-0.39859572,0.7008535,-1.0390745,-0.80575705,0.30058384,0.46563917,0.15579316,-0.9611838,0.57009697,0.24239711,-1.0292872,-0.8780556,-0.9171297,-0.2941985,1.0954696
,0.6886577,-0.5514446,0.8826755,-1.4984733,-1.1330978,0.41231927,0.67223686,0.2454206,-1.2928457,0.79067624,0.3175442,-1.3631619,-1.1592187,-1.2521981,-0.34686163,1.5552689
,0.5997491,-0.43798926,0.74739236,-1.1986549,-0.9172122,0.34585986,0.5476954,0.13701391,-1.0442463,0.64539,0.2817216,-1.1125026,-0.98419636,-1.0163261,-0.28054592,1.3189343
,0.5482831,-0.41441384,0.6777945,-1.1084555,-0.8206297,0.3395889,0.4590884,0.13422859,-0.9769506,0.60225856,0.242939,-1.0269239,-0.855202,-0.8681533,-0.23852608,1.1550114
,0.77019256,-0.55864567,0.94913363,-1.5981512,-1.1804044,0.4650412,0.72505045,0.21204385,-1.398476,0.8386081,0.34259143,-1.4599851,-1.2765115,-1.3028966,-0.40696585,1.7362477
,0.32596678,-0.29936114,0.4498603,-0.74397725,-0.5424671,0.24215412,0.34499747,0.11439234,-0.62318844,0.3690578,0.17451254,-0.67089105,-0.60059154,-0.6065026,-0.1983914,0.77833533
