,about,album,all,always,and,are,away,back,been,better,but,can,cant,dont,down,eyes,feel,find,for,from,get,had,here,how,ill,its,ive,just,keep,know,let,like,lost,myself,never,not,now,one,only,out,over,past,say,see,still,take,that,the,this,through,time,too,want,was,well,were,what,when,while,with,you,youll,your,youre
"""...And We're Just Changing"" lyrics",0.0,0.040696940513394966,0.03942379976667898,0.2251880969172466,0.30392565972684316,0.05513709064114533,0.10000818217503415,0.0,0.2000163643500683,0.0,0.07761958009323554,0.0,0.0,0.0,0.0,0.0,0.13955908501385159,0.25209948369611296,0.2101769923173548,0.09469630435529475,0.0,0.0,0.1725327817363185,0.0465196950046172,0.08689247968340306,0.03942379976667898,0.0930393900092344,0.15523916018647108,0.0,0.04418133659629484,0.0,0.03880979004661777,0.06460682248337772,0.0,0.21365642639815474,0.0,0.0,0.0,0.0,0.07409992632476958,0.0,0.43073357124323447,0.0,0.050953075999623954,0.165411271923436,0.0,0.19150178165253928,0.37057540578165377,0.2285836645423677,0.048203776671317394,0.0,0.0,0.0,0.0,0.0,0.2500204554375854,0.0,0.12610619539041287,0.0,0.0,0.05852204939777369,0.0,0.0,0.0
"""I Think I'm Moving Forward"" lyrics",0.06812090856908265,0.05131391011230816,0.04970863391677208,0.14196745035133576,0.17418792071018052,0.0,0.06304909909549541,0.0,0.0,0.0,0.0,0.0,0.0,0.05300154338578969,0.0,0.20033339455988164,0.0,0.0,0.0,0.0,0.4350858586300831,0.0,0.0,0.058655697892897554,0.0,0.09941726783354415,0.11731139578579511,0.2936066524127367,0.0,0.11141462262981204,0.09378940103057633,0.2936066524127367,0.0,0.0,0.0,0.0,0.07580721924069812,0.0,0.0,0.046715513633099504,0.47680034724540854,0.0,0.0,0.19273696219963332,0.0,0.0,0.4024342324058697,0.10012514536312853,0.1152865199938891,0.0,0.06952118948800795,0.0,0.0,0.07251430977168051,0.0,0.0,0.0,0.05300154338578969,0.0,0.0,0.11068381840879463,0.0,0.0,0.0
"""To: My Old Self"" lyrics",0.5090617949366606,0.0639107525518378,0.0,0.26522769079460273,0.17355888216138496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3717793032398083,0.0,0.0,0.18063110365754678,0.21916453758349386,0.0,0.0,0.0,0.0,0.07569953918011663,0.0,0.11681337844126766,0.0,0.0,0.16003411513920202,0.0,0.0,0.09441682420870666,0.0,0.0,0.05818351448179537,0.0,0.19326483823544455,0.0,0.0,0.0,0.0,0.20049046809637802,0.49881783520408934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13202535206461322,0.0,0.1278215051036756,0.0,0.0,0.0,0.0
"""Spread Me All Over Illinois"" lyrics",0.0,0.06286725847270662,0.0609005536691948,0.08696574063849984,0.2987689656508372,0.0,0.07724463017206447,0.0,0.07724463017206447,0.0,0.0,0.09080764180107431,0.2665228109926875,0.06493486308476784,0.07314182549367494,0.0,0.07186205284803066,0.09735869086487568,0.0,0.07314182549367494,0.17768187399512497,0.0,0.0,0.0,0.0,0.0,0.0,0.11990410440456283,0.1489271305964093,0.0,0.0,0.17985615660684423,0.1996048723527967,0.23613176998847113,0.33004922761470523,0.0,0.0,0.08884093699756249,0.09287524641313552,0.05723353109964772,0.09735869086487568,0.2851639994970801,0.0,0.23613176998847113,0.0,0.0,0.29582548106218065,0.3271156367742244,0.0,0.0,0.0,0.0,0.2665228109926875,0.17768187399512497,0.0,0.0,0.0,0.06493486308476784,0.0,0.0,0.04520144216530724,0.0,0.0,0.0
"""Sixteen"" lyrics",0.09849667879043593,0.07419527760243703,0.21562257980072633,0.0,0.25185999476159976,0.0,0.09116330055019119,0.0,0.18232660110038237,0.0,0.14150956361220055,0.0,0.0,0.0,0.0,0.0,0.08481083937285748,0.2298034070903651,0.07663544283137828,0.08632121359655305,0.0,0.0,0.20969827993553924,0.08481083937285748,0.0,0.0,0.42405419686428747,0.07075478180610027,0.0,0.0,0.0,0.0,0.0,0.09289341092473198,0.0,0.08054773877977073,0.0,0.10484913996776962,0.0,0.06754641177727903,0.0,0.0,0.0,0.0,0.0,0.21434044860659582,0.058188353849330306,0.386058435951973,0.0,0.0,0.0,0.2052721058729265,0.0,0.4193965598710785,0.0,0.0,0.0,0.15327088566275657,0.0,0.14839055520487407,0.10669253379138437,0.0,0.0,0.0
"""Short Song"" lyrics",0.12828130876703855,0.09663135277306988,0.1872167811560648,0.13367239747631984,0.1968122995668847,0.0,0.0,0.0,0.0,0.16167668819872402,0.27645143338053724,0.0,0.0,0.0,0.0,0.0,0.11045697790002701,0.2992941709577628,0.09980940499798206,0.0,0.0,0.157401997883933,0.0,0.11045697790002701,0.0,0.0936083905780324,0.0,0.0,0.11445568364008143,0.0,0.0,0.0,0.1534032921438786,0.36295096877163024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29221127926810025,0.0,0.0,0.13091823585292853,0.0,0.07578405971102085,0.0628499382322369,0.10855041409947981,0.0,0.0,0.0,0.0,0.0,0.0,0.4749214958194897,0.12575204188996433,0.19961880999596412,0.0,0.0,0.06947776330382854,0.166268302143568,0.0,0.12828130876703855
"""Loose Ends"" lyrics",0.0,0.08108441595650913,0.0785478155984571,0.0,0.05504911158222551,0.0,0.09962794426605343,0.0,0.0,0.0,0.07732446517174883,0.0,0.11458453357885452,0.0,0.2830087877009444,0.0,0.18537129584386325,0.0,0.3350046161615358,0.09433626256698147,0.0,0.0,0.11458453357885452,0.0,0.0,0.0785478155984571,0.2780569437657949,0.0,0.19208201053862045,0.2640801369018928,0.0,0.15464893034349766,0.0,0.0,0.0851376360547161,0.08802671230063093,0.0,0.0,0.0,0.07381819336623983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4746425822877915,0.18217165912524588,0.0,0.0,0.33649787469065784,0.0,0.0,0.0,0.0,0.0,0.25125346212115185,0.0,0.08108441595650913,0.17489863375975212,0.0,0.0,0.0
"""Summer"" lyrics",0.04993428290960808,0.03761434423834344,0.10931291322397857,0.0,0.10214718617098639,0.0,0.04621652320208887,0.0,0.0,0.0,0.14348054514327305,0.0,0.0,0.15540568190677786,0.08752351762036323,0.09789950066065775,0.0,0.0,0.0,0.0,0.21261901141333023,0.12253937800318702,0.15946425855999768,0.0,0.24093238469307243,0.0,0.0,0.03587013628581826,0.0,0.08166962836413584,0.0,0.10761040885745478,0.0,0.0,0.07898919446909616,0.08166962836413584,0.22227414235480333,0.0,0.0,0.03424360777069209,0.0,0.0,0.0,0.047093627100089096,0.05096072288269847,0.0,0.17699644854049493,0.2691119454092235,0.04225391165475297,0.2227628694479357,0.0,0.05203279711551566,0.0,0.31892851711999537,0.0647209520851912,0.23108261601044436,0.0,0.038851420476694466,0.0,0.03761434423834344,0.5949821613598553,0.0,0.03822495151242215,0.04993428290960808
"""Old Book"" lyrics",0.0,0.12247331576014375,0.0,0.0,0.24944548760423305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14248946282346958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11679412778952877,0.0,0.0,0.0,0.11679412778952877,0.0,0.0,0.1285954700493147,0.0,0.0,0.0,0.0,0.4459924289193124,0.0,0.0,0.0,0.0,0.0,0.17690469185268085,0.09605086556503332,0.3186311734121754,0.13757987196061477,0.0,0.0,0.0,0.5192199116199697,0.34614660774664646,0.0,0.0,0.31876340529022573,0.0,0.0,0.0,0.08805808673093249,0.0,0.0,0.0
"""Cover You Up"" lyrics",0.0,0.05225322842022822,0.05061856710637947,0.2168493181052601,0.17737648892849595,0.07079379814190981,0.0,0.0,0.0,0.0,0.04983020341736854,0.0,0.22152512548401296,0.05397175438591283,0.0,0.06800018814408719,0.11945882016932152,0.08092138954437395,0.10794350877182567,0.0,0.22152512548401296,0.0,0.0,0.0,0.11156643550152061,0.10123713421275894,0.35837646050796457,0.09966040683473708,0.0,0.0,0.0,0.04983020341736854,0.24885765441885682,0.06542169227795583,0.0,0.0,0.0,0.07384170849467098,0.3087795830968173,0.0,0.0,0.0,0.0722831060350867,0.0,0.0,0.0,0.0819601851583679,0.1699299494626115,0.0,0.06189170294742375,0.14158759628381962,0.2168493181052601,0.0,0.0,0.08990928225287814,0.0,0.0,0.21588701754365133,0.0,0.05225322842022822,0.48840966533268343,0.17981856450575628,0.0,0.0
