title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
,0.19993892,0.6072706,-0.42427334,-0.3931304,0.119832,-0.13130605,0.21157844,-0.6642144,-0.32614383,0.31611627,-0.7403575,-0.026815807,0.18054815,-0.19112422,0.4474116,-0.057818413,-0.24684823,0.2885769,0.20105334,0.2609309,0.23595853,0.11260243,-0.25843978,0.18806557,0.20228486,-0.28306776,-0.91194254,-0.025338266,0.09056739,-0.2339518,-0.08621295,0.6633115,0.2461551,-0.2597168,-0.6898564,-0.27684277,0.28758746,-0.37305394,0.683685,-0.12809053,0.42178273,0.10819818,-0.15254983,0.005295007,-0.7043827,0.08121927,-0.52943844,0.14695764,-0.33096513,0.5545181,-0.267816,0.16535991,-0.8183867,0.06563028,-0.032684315,0.014942215,0.037462946,0.53713727,-0.16094206,0.03661645,0.033739306,0.115896024,-0.07656158,0.18303429
,0.33104533,0.97124934,-0.6791059,-0.6251418,0.18509424,-0.20871301,0.333361,-1.0578563,-0.49704948,0.5212175,-1.2009349,-0.028562285,0.27279904,-0.30588046,0.7190877,-0.08631235,-0.39750323,0.46259126,0.31527945,0.4086878,0.37417507,0.18630402,-0.43604928,0.30593893,0.31465337,-0.4662593,-1.4642096,-0.023683392,0.1390208,-0.381658,-0.14520477,1.0689242,0.41530165,-0.42962435,-1.115161,-0.4507615,0.43923452,-0.60599375,1.1033208,-0.22245917,0.68090737,0.16824707,-0.2630875,-0.017962921,-1.1357371,0.14203008,-0.83505976,0.22446866,-0.53223515,0.9004113,-0.43948436,0.2615197,-1.3098571,0.1155636,-0.042297106,0.0192158,0.03909374,0.8623676,-0.24460459,0.050068848,0.059965067,0.2037657,-0.12743695,0.29361278
,0.20370759,0.57116,-0.3942772,-0.36731738,0.103185676,-0.11705633,0.20356332,-0.62245363,-0.2936267,0.29917789,-0.70275927,-0.022888664,0.16367915,-0.17571999,0.4210423,-0.046620615,-0.23821823,0.27196947,0.1862292,0.23664701,0.21757536,0.11653379,-0.25442082,0.17565426,0.19587924,-0.27931368,-0.86845726,-0.023229089,0.08148492,-0.22408254,-0.074515924,0.62098753,0.24611187,-0.24206366,-0.6653481,-0.26871398,0.25971034,-0.35293174,0.6460661,-0.13260609,0.41356137,0.09919237,-0.14256978,-0.014478427,-0.6702552,0.08580197,-0.4903122,0.13417143,-0.3189243,0.52688754,-0.25495943,0.15439168,-0.76708347,0.06785079,-0.019367913,0.016391603,0.025175316,0.5144323,-0.14793645,0.02141864,0.030583976,0.12090374,-0.07392901,0.18079889
,0.13249594,0.3867366,-0.27450085,-0.24433623,0.079126,-0.08482832,0.1361312,-0.43138015,-0.20699808,0.20892435,-0.49056718,-0.0045340136,0.11393644,-0.11957629,0.30070964,-0.038595945,-0.16543412,0.18573877,0.1225912,0.1684177,0.14832386,0.08104194,-0.1715283,0.112356454,0.13092415,-0.18118663,-0.59627146,-0.007342107,0.04924322,-0.159268,-0.054676548,0.43238622,0.16835597,-0.17783733,-0.4598096,-0.18858218,0.18870866,-0.24921758,0.450982,-0.095388494,0.28384152,0.0622219,-0.103255,-0.0030977083,-0.46281072,0.05112956,-0.34182435,0.09020293,-0.21251893,0.372529,-0.1766482,0.10458994,-0.5260886,0.04621552,-0.014217296,0.013187864,0.02014479,0.35210842,-0.10351647,0.0261756,0.029816875,0.0774463,-0.057002213,0.12633626
,0.24441363,0.6950569,-0.48207414,-0.43950158,0.13643482,-0.14222783,0.24179025,-0.76329076,-0.3637395,0.37809157,-0.8550542,-0.025765713,0.19110924,-0.22826079,0.5228474,-0.05755656,-0.27919334,0.33748412,0.23089707,0.29013112,0.26119667,0.13261434,-0.31053963,0.20529296,0.22329202,-0.3340364,-1.0423539,-0.020096892,0.09862446,-0.26725712,-0.10347304,0.75876284,0.2927424,-0.3074318,-0.804428,-0.31889036,0.31676385,-0.42955023,0.7892753,-0.16339086,0.49351856,0.116219066,-0.18057474,-0.0077686124,-0.81489104,0.10031544,-0.60079604,0.1657413,-0.38920507,0.639076,-0.31479704,0.1896456,-0.932364,0.077746004,-0.027244069,0.008163173,0.040150207,0.61786205,-0.17390591,0.03978717,0.038381353,0.1486003,-0.083588675,0.21124986
,0.25773767,0.7372482,-0.5190166,-0.4736657,0.13721816,-0.15693888,0.24866119,-0.80750453,-0.38457882,0.40363747,-0.91280377,-0.015812906,0.21640664,-0.2337362,0.563048,-0.06419977,-0.29580042,0.35164475,0.2468145,0.3149724,0.29223353,0.14691143,-0.3280925,0.2278182,0.2529824,-0.35527822,-1.1177613,-0.018308442,0.10973171,-0.29311326,-0.10921511,0.8160522,0.31203118,-0.32185286,-0.86666125,-0.33928534,0.34119582,-0.45482343,0.8412387,-0.1716299,0.52190685,0.12565356,-0.19379857,-0.004105444,-0.8673657,0.111850366,-0.6504027,0.17400546,-0.41203034,0.69406146,-0.34017614,0.20824134,-1.0025783,0.09017112,-0.028879464,0.015487604,0.03966905,0.6596689,-0.19409132,0.03700417,0.053914975,0.1482054,-0.09412378,0.23128982
,0.25639454,0.7635599,-0.5316556,-0.48956925,0.14305529,-0.1675857,0.26245737,-0.83694416,-0.39697018,0.40652663,-0.9489941,-0.016774235,0.22244005,-0.24368565,0.5632974,-0.065149285,-0.31589422,0.37798214,0.24259916,0.33025494,0.29352883,0.14877665,-0.32866076,0.23304439,0.25344193,-0.35852477,-1.1479136,-0.027922165,0.111206,-0.31094706,-0.119250506,0.8384473,0.3220756,-0.33187932,-0.88056207,-0.35098088,0.34424588,-0.46814176,0.86342216,-0.16989228,0.53762186,0.121775985,-0.19429378,-0.00466311,-0.8896606,0.11172133,-0.6640969,0.18045168,-0.4175724,0.7080586,-0.34619394,0.20254308,-1.0269262,0.09296383,-0.035148524,0.009049894,0.04094051,0.6846323,-0.18926425,0.03454421,0.038482327,0.1648421,-0.10617001,0.2232146
,0.28397444,0.80188674,-0.5604572,-0.5061885,0.15534651,-0.17173792,0.27779648,-0.8867775,-0.41588074,0.4260391,-0.99879545,-0.022486508,0.22331612,-0.25759146,0.60602933,-0.072292805,-0.32345495,0.38643113,0.25734702,0.34901413,0.31357798,0.15024999,-0.364591,0.2385432,0.27304012,-0.38452038,-1.2249486,-0.016766276,0.11463405,-0.3166761,-0.119650684,0.8894379,0.33955717,-0.34547845,-0.93565434,-0.373373,0.37212637,-0.5102955,0.91826254,-0.1848049,0.5706567,0.1377772,-0.21942161,-0.01265617,-0.9378456,0.11090654,-0.6991131,0.19390807,-0.44849256,0.750545,-0.36672124,0.22490911,-1.0802242,0.097597145,-0.030996794,0.017744724,0.04279739,0.71923965,-0.20897545,0.033638652,0.04481143,0.17472628,-0.09613609,0.24360147
,0.22793686,0.6497786,-0.45106283,-0.41893664,0.12847458,-0.13275374,0.22488226,-0.7067,-0.34343472,0.3400484,-0.7976672,-0.0264247,0.17988932,-0.21437956,0.48684826,-0.063854516,-0.27072653,0.3089159,0.20823021,0.27508697,0.2493069,0.1332453,-0.2833872,0.1870874,0.21143883,-0.31573096,-0.9785935,-0.029207919,0.09587014,-0.25887212,-0.09381116,0.7122079,0.2733952,-0.28721082,-0.7612174,-0.29958066,0.2995353,-0.41032904,0.7405913,-0.15036772,0.4627801,0.105476245,-0.17106357,-0.009993285,-0.765873,0.09773291,-0.57028425,0.1507928,-0.3613187,0.60644424,-0.29604647,0.1853755,-0.8743289,0.08808561,-0.021646278,0.023311859,0.04025066,0.5769428,-0.16766745,0.029780677,0.041150145,0.13559923,-0.082191065,0.20737854
,0.28201154,0.82334065,-0.5907344,-0.5319721,0.15751585,-0.18413527,0.28747153,-0.91087425,-0.43074518,0.45137823,-1.0313711,-0.026057988,0.24575461,-0.25412744,0.6201813,-0.06649538,-0.33687842,0.3932158,0.2721774,0.35302666,0.3164731,0.15734272,-0.3629532,0.2515715,0.27614397,-0.39913422,-1.2626777,-0.030575413,0.114374064,-0.32833198,-0.12840301,0.90954274,0.34462917,-0.35904062,-0.97010523,-0.389815,0.3762433,-0.5180719,0.94879663,-0.18883814,0.5874597,0.14400327,-0.22248249,-0.011721285,-0.975912,0.11415552,-0.7202073,0.19618383,-0.4593061,0.780421,-0.3793749,0.22377081,-1.1168541,0.09287263,-0.028017323,0.018523756,0.038728256,0.7398584,-0.21043034,0.046563476,0.048768688,0.1689104,-0.102145135,0.25450346
,0.24022998,0.68036133,-0.4716273,-0.43198964,0.13152437,-0.14985304,0.23900102,-0.738906,-0.35632136,0.36886424,-0.8360489,-0.018602047,0.18696615,-0.22218171,0.5052742,-0.06883565,-0.27393854,0.32922336,0.22271992,0.28857344,0.25558922,0.12954648,-0.30520728,0.21018478,0.21996008,-0.32749203,-1.0247117,-0.027069552,0.098019116,-0.2696104,-0.10540604,0.75120145,0.294743,-0.2957464,-0.78778046,-0.31584978,0.3174418,-0.4216748,0.7681292,-0.15370375,0.48593706,0.11131267,-0.18475813,-0.0024502615,-0.79141694,0.0990662,-0.58647424,0.16044413,-0.3826007,0.6381221,-0.30433774,0.18903087,-0.9109647,0.08574388,-0.030938068,0.019925479,0.03351444,0.59672564,-0.17879677,0.03434564,0.041533656,0.14946286,-0.09362673,0.20185937
,0.21370816,0.6455839,-0.4515821,-0.41784486,0.12644953,-0.13914393,0.22466984,-0.70650643,-0.34612998,0.3366131,-0.78803957,-0.028467486,0.19176866,-0.20304103,0.4771938,-0.061155804,-0.2620354,0.30722785,0.21428092,0.27757922,0.24997671,0.1203015,-0.2756612,0.19977807,0.21472995,-0.302436,-0.97065157,-0.026495172,0.09592052,-0.24936938,-0.09243711,0.70603913,0.2618865,-0.27624676,-0.7340115,-0.29514197,0.3054404,-0.39669168,0.7272137,-0.13655744,0.44904608,0.11419159,-0.16257884,0.0049576988,-0.7491928,0.08710035,-0.56238866,0.15642947,-0.35256842,0.59016365,-0.28542656,0.17627934,-0.8693248,0.07017055,-0.033486065,0.01521169,0.03997426,0.57203144,-0.1710636,0.03897535,0.03640973,0.12320408,-0.0813665,0.19431296
,0.31645364,0.9289124,-0.64876,-0.59747136,0.17728624,-0.19966182,0.3188886,-1.0111796,-0.475164,0.49865133,-1.1485198,-0.027461445,0.26019466,-0.29237944,0.6876401,-0.08304843,-0.380502,0.44200432,0.3018007,0.39127195,0.35863638,0.17804904,-0.41703016,0.29304332,0.30064356,-0.44594893,-1.3996155,-0.02163313,0.13265072,-0.36453855,-0.13904856,1.0217559,0.39703637,-0.4106515,-1.0657345,-0.4299266,0.41959065,-0.5791508,1.0546898,-0.2126719,0.65109444,0.1616933,-0.25140232,-0.017595079,-1.0869424,0.135859,-0.79878426,0.21465454,-0.5079055,0.8613981,-0.42040178,0.24943312,-1.2519151,0.11128361,-0.04049252,0.01790305,0.03717806,0.8233078,-0.23350409,0.048331574,0.05749882,0.19498365,-0.1223373,0.28088745
,0.13807535,0.40434465,-0.28688124,-0.2550178,0.08287864,-0.08822538,0.14224954,-0.4505693,-0.21622698,0.21816523,-0.5125262,-0.0050414517,0.118989505,-0.1251762,0.3138129,-0.03957654,-0.17245209,0.19429308,0.12870416,0.17594841,0.15522547,0.0845844,-0.17945647,0.1180233,0.13676053,-0.18982439,-0.6231075,-0.008071326,0.051909015,-0.16599435,-0.056993973,0.4512428,0.17610578,-0.18540603,-0.4800748,-0.19704126,0.19644043,-0.25982293,0.4706909,-0.09962403,0.2963189,0.064630724,-0.10767899,-0.0029685935,-0.48305783,0.053842414,-0.35708094,0.094024114,-0.22188555,0.38847566,-0.18466836,0.10939453,-0.54956543,0.048414595,-0.0149245,0.01397427,0.020654941,0.36793518,-0.10811681,0.026537485,0.030739332,0.08167231,-0.059242845,0.13112718
,0.19209558,0.53743565,-0.3702527,-0.34477267,0.09695402,-0.11025534,0.19185403,-0.5853991,-0.27546316,0.2812028,-0.6606157,-0.021127854,0.15352744,-0.16460142,0.39518154,-0.04403433,-0.22358185,0.2555962,0.17486733,0.22219582,0.20478386,0.109383784,-0.23904847,0.16514239,0.18451114,-0.26254338,-0.8164345,-0.021876588,0.07641989,-0.21057667,-0.06968409,0.5833322,0.23152442,-0.22637327,-0.6261197,-0.25295335,0.24443842,-0.33189887,0.60768205,-0.12555413,0.38977244,0.093811475,-0.13426915,-0.014314368,-0.6301742,0.080568105,-0.46112868,0.12528701,-0.29974973,0.49512962,-0.23981884,0.14504185,-0.7225015,0.063557126,-0.018213212,0.015255577,0.023374159,0.48288113,-0.13831545,0.019784048,0.02815248,0.113161065,-0.070080996,0.17076339
