title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,0.24050194,1.1219548,-0.86904526,-0.89599717,0.34412044,-0.18253101,0.39368415,-1.1520935,-0.6138225,0.58426386,-1.3550568,0.05311446,0.20529895,-0.43390948,0.7926981,-0.1966624
,0.39730188,1.7015017,-1.3283858,-1.3393338,0.50004053,-0.27061474,0.5879655,-1.7275113,-0.83445305,0.93765795,-2.111049,0.13693205,0.24374774,-0.6536076,1.2117527,-0.2755993
,0.2844204,1.0392222,-0.7900748,-0.8211384,0.28162217,-0.14429198,0.38138154,-1.0638976,-0.51859087,0.54540473,-1.2777158,0.06519785,0.16415696,-0.37520945,0.7317734,-0.15023361
,0.16214873,0.68958914,-0.55613816,-0.52997357,0.22914192,-0.11420862,0.24987772,-0.7391273,-0.37450594,0.38552472,-0.9082716,0.08572984,0.1179844,-0.25537133,0.548801,-0.13081807
,0.33568585,1.2930119,-0.99177754,-0.9857238,0.39793536,-0.18053411,0.45553467,-1.3380514,-0.66814065,0.7352256,-1.5898696,0.082300946,0.17074706,-0.5298904,0.9569447,-0.19048332
,0.3464059,1.3577873,-1.0740316,-1.0690084,0.389236,-0.21073347,0.44953656,-1.3954513,-0.6943443,0.78800255,-1.6946806,0.13631289,0.23346283,-0.5244118,1.040206,-0.21896385
,0.32584965,1.426184,-1.1058662,-1.115525,0.41205493,-0.24803863,0.49071088,-1.474814,-0.72500694,0.77140695,-1.7899225,0.13366675,0.23263949,-0.5542301,0.9988344,-0.219369
,0.3866271,1.4604348,-1.1425593,-1.1154566,0.44554925,-0.23373158,0.5054749,-1.5379876,-0.7446619,0.7867126,-1.8461363,0.12633754,0.2009769,-0.58472604,1.0871692,-0.2443698
,0.2699133,1.0231934,-0.7950544,-0.82150227,0.32263005,-0.1347586,0.3544311,-1.0403888,-0.5507726,0.5365986,-1.2560099,0.0529366,0.14080709,-0.43260202,0.7562831,-0.19464423
,0.36300093,1.5247537,-1.2557812,-1.2109178,0.46255097,-0.2723755,0.5412383,-1.5967155,-0.7909048,0.8764929,-1.9445064,0.11941081,0.27074438,-0.5631474,1.1282233,-0.22613208
,0.31787065,1.1831182,-0.91309685,-0.91716814,0.36521202,-0.21048349,0.4317988,-1.1986016,-0.60989314,0.67114496,-1.4588875,0.10380732,0.15794069,-0.4834046,0.84950554,-0.23221505
,0.23156235,1.0824441,-0.83712536,-0.86466753,0.33355302,-0.1757849,0.37874478,-1.1094723,-0.5934923,0.5594208,-1.3061547,0.05108834,0.19903325,-0.41605017,0.7615379,-0.19152547
,0.3734923,1.6073456,-1.2521504,-1.2670977,0.46939236,-0.255118,0.5586463,-1.6304052,-0.7876541,0.88820755,-1.9929893,0.12915944,0.22964704,-0.6170604,1.1433463,-0.26346877
,0.15422842,0.6562483,-0.5299183,-0.50571465,0.21877061,-0.110122286,0.23717862,-0.7041816,-0.3590218,0.36792377,-0.86674356,0.08283094,0.11175415,-0.24245507,0.5240513,-0.12716725
,0.28344703,1.0227082,-0.77617604,-0.81111616,0.2791121,-0.14041318,0.37725857,-1.047544,-0.508052,0.5368282,-1.2563483,0.06299653,0.16000761,-0.36940342,0.7207488,-0.14988469
,0.32971793,1.2715681,-0.9749648,-0.96840715,0.389341,-0.17703332,0.4490405,-1.31529,-0.6567496,0.7248541,-1.5626811,0.08077321,0.1667935,-0.52119726,0.9411271,-0.18685535
,0.33361858,1.3083861,-1.0373876,-1.0316833,0.37183347,-0.2062756,0.43303025,-1.345955,-0.67163086,0.7620981,-1.6335796,0.1348086,0.2246965,-0.50954735,1.0030125,-0.20912646
,0.32653686,1.4287437,-1.1083734,-1.1170039,0.41717285,-0.25013247,0.4905215,-1.477335,-0.7273092,0.7731903,-1.7975982,0.13352749,0.23275252,-0.5571017,1.0020268,-0.22006923
,0.41015187,1.5548534,-1.2172061,-1.1923602,0.47600353,-0.25018644,0.5420678,-1.63939,-0.7914922,0.84058857,-1.965992,0.13646157,0.21541359,-0.6204632,1.1554989,-0.26120555
,0.2960701,1.1339893,-0.8811107,-0.90682626,0.3561761,-0.15345322,0.39413422,-1.1567626,-0.6062615,0.59774953,-1.3969903,0.062174976,0.1569651,-0.47388327,0.83507836,-0.21232598
,0.3434924,1.4520282,-1.1995862,-1.1530334,0.4436163,-0.26076087,0.5146521,-1.5238817,-0.75362307,0.83758295,-1.8573152,0.11383061,0.25988892,-0.53670144,1.0748987,-0.21286601
,0.3273381,1.2248338,-0.94586724,-0.94983137,0.37501666,-0.21765113,0.44518238,-1.244426,-0.63235813,0.69471955,-1.5118436,0.1090967,0.16560349,-0.49891004,0.88164634,-0.237472
,0.3029664,1.1984864,-0.9122843,-0.9412172,0.34550428,-0.21159828,0.40483257,-1.2480491,-0.588192,0.68568164,-1.5059217,0.098297745,0.16310766,-0.4593196,0.8665925,-0.1646128
,0.39574656,1.5342555,-1.2283517,-1.2125756,0.45808673,-0.27139586,0.5174087,-1.5898439,-0.77014107,0.8300862,-1.929691,0.1162411,0.25297856,-0.5760007,1.1069196,-0.26897958
,0.3966927,1.4750785,-1.1947403,-1.1817358,0.4197259,-0.22827914,0.52688956,-1.5473253,-0.762069,0.8526861,-1.8954763,0.14638503,0.23719047,-0.5864751,1.0724038,-0.2149389
,0.35333574,1.4693621,-1.195434,-1.158901,0.46962824,-0.22624598,0.52662313,-1.5642983,-0.74071336,0.8013926,-1.8788877,0.119550526,0.20975892,-0.55872583,1.092368,-0.22032419
,0.3437218,1.4428332,-1.1378525,-1.1380956,0.43934894,-0.21673526,0.48517582,-1.4438199,-0.6952685,0.7994474,-1.7550718,0.14033328,0.24301843,-0.55738133,1.0434388,-0.26855952
,0.32690862,1.2436253,-0.94873786,-0.9623417,0.37916118,-0.18120867,0.44519153,-1.2656493,-0.64422566,0.6908475,-1.5045438,0.12276142,0.19213589,-0.5074799,0.91145957,-0.20928785
,0.35959926,1.5715816,-1.2802455,-1.2284524,0.5060777,-0.24637344,0.5264614,-1.6303585,-0.7942919,0.88471085,-1.9579728,0.16503736,0.24427034,-0.6329552,1.1577137,-0.23387185
,0.29926786,1.286532,-0.9976604,-0.9996873,0.40098903,-0.22092694,0.42275238,-1.3222365,-0.64198846,0.70268285,-1.576481,0.07444771,0.2291663,-0.47879308,0.90287894,-0.23662032
