title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,0.23141322,0.8176795,-0.61135036,-0.5754391,0.20789757,-0.15531656,0.22946104,-0.84974235,-0.42622146,0.43457222,-0.96360284,-0.05123511,0.17632164,-0.22782506,0.5568512,-0.049632195,-0.32779756,0.39146593,0.2693278,0.3299494,0.28528863,0.07346333,-0.32907984,0.24394093,0.22844861,-0.35117388,-1.1879814,-0.023177417,0.07966456,-0.34452143,-0.104091346,0.88283134
,0.39811087,1.3330423,-1.0018135,-0.93480283,0.32827014,-0.25250763,0.36638552,-1.3787093,-0.6452538,0.7410028,-1.6033871,-0.05648734,0.25644425,-0.37242866,0.91958356,-0.07009933,-0.5386442,0.6378703,0.42968154,0.5198731,0.46039596,0.132272,-0.5822462,0.41068345,0.36033255,-0.5985133,-1.9537178,-0.0018088818,0.118078984,-0.5774922,-0.18392412,1.4588466
,0.25931504,0.80582505,-0.59446084,-0.56321234,0.18656875,-0.14097254,0.23621324,-0.8356226,-0.3918279,0.4336029,-0.9615959,-0.047802243,0.16181141,-0.21417196,0.5508993,-0.034398526,-0.33350804,0.38559246,0.25883785,0.30652905,0.27104437,0.09269215,-0.34829566,0.23834993,0.23937704,-0.37193376,-1.194929,-0.020350149,0.06989795,-0.34767476,-0.0906905,0.864199
,0.16779569,0.55671805,-0.42780232,-0.38186634,0.1485003,-0.10788504,0.15877406,-0.59592617,-0.2867563,0.31251335,-0.6948046,-0.010502915,0.1164469,-0.15014808,0.41216317,-0.037258856,-0.23810306,0.27039364,0.17321911,0.22784525,0.18972711,0.06795732,-0.23883837,0.15127918,0.15996012,-0.24073173,-0.8416972,0.0032463362,0.03576448,-0.25639528,-0.06999238,0.62256604
,0.3144154,1.0000681,-0.744686,-0.6853683,0.25402838,-0.1751097,0.281031,-1.0492355,-0.5008107,0.5662822,-1.1964704,-0.053019576,0.18474248,-0.2966251,0.7078844,-0.043765113,-0.39278188,0.4928523,0.33267453,0.38519207,0.33093798,0.09894786,-0.43310294,0.27869403,0.26489595,-0.45145336,-1.4551866,-0.009740567,0.08629848,-0.4220154,-0.13703397,1.082708
,0.3148388,1.0167567,-0.7704428,-0.70979154,0.24356264,-0.18952705,0.27047,-1.0578861,-0.5065397,0.58276457,-1.2264717,-0.031812508,0.21231873,-0.28470188,0.73638296,-0.048596963,-0.39843988,0.48787156,0.34215084,0.40466058,0.36680478,0.11038514,-0.43823773,0.30295774,0.29938835,-0.46023595,-1.5017678,-0.001473294,0.096695535,-0.44838214,-0.138884,1.1225361
,0.31539336,1.08726,-0.8126624,-0.7553412,0.2649302,-0.21333744,0.30111086,-1.1356751,-0.5372313,0.5947748,-1.3197062,-0.03675228,0.224984,-0.3074486,0.74788046,-0.05047846,-0.44510204,0.55049,0.33868673,0.44452465,0.37143123,0.115099125,-0.44468886,0.3167837,0.30427942,-0.47259077,-1.584529,-0.02232699,0.09914238,-0.49072754,-0.16122797,1.1877677
,0.35748988,1.1254578,-0.8444587,-0.7685265,0.28267124,-0.2132235,0.31157568,-1.1892815,-0.555788,0.615657,-1.3666059,-0.047018122,0.20930134,-0.322439,0.8005418,-0.058801416,-0.44509372,0.548127,0.35411805,0.46180868,0.39511085,0.10404377,-0.49955806,0.31500265,0.3274379,-0.5035909,-1.6770732,0.0025346037,0.09804281,-0.49137068,-0.15470481,1.2424201
,0.26999694,0.8695887,-0.6480533,-0.6125646,0.22396989,-0.15054788,0.24100997,-0.89930844,-0.44364962,0.4680967,-1.0378952,-0.05290022,0.16324477,-0.26159415,0.61276174,-0.058309045,-0.3634989,0.41659454,0.2736516,0.3423581,0.29501727,0.10212876,-0.36072952,0.23324165,0.23622373,-0.39785102,-1.2743744,-0.02881417,0.08146398,-0.38156408,-0.114144795,0.9434818
,0.35379118,1.1802526,-0.9188945,-0.8306309,0.29424956,-0.23818906,0.3310122,-1.2468694,-0.5909391,0.67522156,-1.4445461,-0.054475073,0.2534561,-0.31730592,0.8352693,-0.046752445,-0.4748052,0.5676231,0.38763955,0.4728145,0.40325397,0.11328602,-0.50004804,0.34576508,0.3353526,-0.53643906,-1.7690423,-0.025022605,0.0941842,-0.5214414,-0.17215644,1.2982192
