title,0,1,2,3,4,5,6,7
,0.33325434,1.3279958,-0.9718192,-1.044375,0.34743798,-0.33954218,0.59092015,-1.3596013
,0.6168689,2.11457,-1.5723182,-1.6288459,0.49382845,-0.5204499,0.93070054,-2.1409483
,0.45767796,1.3052515,-0.9249751,-1.0049952,0.26373997,-0.26982385,0.636345,-1.3312737
,0.26874015,0.8987724,-0.70286584,-0.6655263,0.25844312,-0.23479426,0.42844367,-0.9886936
,0.5602132,1.7007178,-1.2344625,-1.2445303,0.42987937,-0.36478493,0.7681423,-1.7770178
,0.5258356,1.6137755,-1.222839,-1.2422359,0.35506877,-0.39180833,0.6781137,-1.6569176
,0.5023724,1.806525,-1.3162102,-1.3685764,0.4104231,-0.47650415,0.7915248,-1.8710309
,0.64251065,1.909544,-1.4137015,-1.3903948,0.4782223,-0.46846715,0.8538941,-2.030739
,0.43684983,1.3129305,-0.94772166,-1.0351723,0.35267153,-0.26821595,0.58604777,-1.316508
,0.5947429,1.9990016,-1.6126624,-1.5520825,0.48855376,-0.554758,0.91956973,-2.1141257
,0.54746693,1.6344082,-1.1908864,-1.2142439,0.4017361,-0.44281936,0.7642277,-1.6332594
,0.35904968,1.4018655,-1.0330563,-1.1017106,0.3618035,-0.3557916,0.62890524,-1.4414668
,0.5950014,2.0374482,-1.510864,-1.5695565,0.4745052,-0.49838442,0.89756256,-2.0609777
,0.2845649,0.9519061,-0.74516845,-0.7003182,0.27464852,-0.24887031,0.451394,-1.0451752
,0.43327433,1.2282548,-0.8597306,-0.94121224,0.24603254,-0.25252515,0.5971601,-1.2484655
,0.54200673,1.6557922,-1.2011998,-1.2083566,0.41788816,-0.35451502,0.7478846,-1.7290124
,0.54052216,1.654754,-1.2508224,-1.2618514,0.36540958,-0.39971206,0.69465524,-1.6996636
,0.49761683,1.7872385,-1.300441,-1.3524646,0.4088748,-0.46910977,0.7822324,-1.852402
,0.63367015,1.8732666,-1.3828924,-1.3657293,0.46848726,-0.46016562,0.838342,-1.9895657
,0.4311702,1.2748272,-0.9254741,-1.0115335,0.33958924,-0.26052633,0.5757839,-1.2910846
,0.5592918,1.8819084,-1.523381,-1.4660015,0.46171808,-0.5228896,0.8626213,-1.9889824
,0.5659458,1.692433,-1.2276464,-1.2612988,0.4146756,-0.45797753,0.79214054,-1.6998669
,0.45764166,1.4441171,-1.0037106,-1.1073408,0.3251822,-0.39498278,0.6075685,-1.5168748
,0.6788048,2.056454,-1.5945526,-1.5847272,0.4937161,-0.56240356,0.89317256,-2.1397765
,0.63085705,1.7819504,-1.4071128,-1.4117032,0.3838376,-0.4343198,0.8305714,-1.8975085
,0.5792577,1.8932129,-1.504455,-1.4525425,0.50927913,-0.45910847,0.8805032,-2.069729
,0.54897106,1.9016894,-1.4326471,-1.4579513,0.4772769,-0.44016227,0.808755,-1.8808
,0.57313025,1.7337036,-1.2446674,-1.2956309,0.436771,-0.39132822,0.7948261,-1.7602648
,0.6025988,2.092014,-1.662351,-1.5775719,0.57473195,-0.50332826,0.8955153,-2.1806388
,0.4821678,1.6809007,-1.2303743,-1.255974,0.43968537,-0.43951926,0.68212754,-1.7186828
,0.51766104,1.9110427,-1.381333,-1.3503071,0.4465492,-0.38780758,0.89006376,-1.9057692
,0.5656563,1.6342967,-1.2056435,-1.2179188,0.37650833,-0.42496568,0.6613243,-1.6838194
,0.6312094,2.019267,-1.5161687,-1.5375394,0.5234007,-0.49726924,0.88719475,-2.119082
,0.5292395,1.4137839,-1.0588235,-1.1449503,0.3238902,-0.38210943,0.6966909,-1.5548931
,0.44695997,1.5523727,-1.2263066,-1.1679404,0.45074102,-0.40212074,0.7064766,-1.5763707
,0.429142,1.3825005,-1.1612551,-1.0621477,0.3306125,-0.38722473,0.61965203,-1.5357502
,0.53202015,1.5830818,-1.1845667,-1.2272106,0.40491292,-0.34931722,0.77896297,-1.6650375
,0.58970106,1.7780482,-1.3440338,-1.2750283,0.41942695,-0.3751123,0.8438258,-1.7982683
,0.5130402,1.7923263,-1.4083974,-1.3223187,0.4892385,-0.4511108,0.7996949,-1.7986624
,0.47985786,1.7037656,-1.346429,-1.3001258,0.44654566,-0.47869167,0.7134656,-1.7869538
,0.51556414,1.5091887,-1.0932353,-1.140619,0.3900096,-0.4183602,0.70593846,-1.5624217
,0.5965033,1.7653402,-1.3788848,-1.3401941,0.39123482,-0.38358116,0.84450233,-1.8678058
,0.48016742,1.4808568,-1.0828604,-1.0955709,0.36530095,-0.35329145,0.63422257,-1.5528017
,0.36368382,1.2227389,-0.96155375,-0.90232307,0.3133082,-0.35432047,0.59582096,-1.3424649
,0.2672474,0.8483557,-0.6811825,-0.64096224,0.25398645,-0.23694886,0.34961754,-0.86585534
,0.5949778,1.7357571,-1.2804315,-1.3448474,0.43167552,-0.37435904,0.7451121,-1.7508626
,0.39302158,1.2130011,-0.9910871,-0.9139113,0.28086615,-0.28581184,0.62452203,-1.3172225
,0.34576818,0.8650301,-0.67529213,-0.65854293,0.25472525,-0.19913553,0.45196563,-0.90482175
,0.47200957,1.3954468,-1.0578117,-1.0634133,0.28915808,-0.3491889,0.5819836,-1.4370035
,0.5169798,1.7613466,-1.361245,-1.3080387,0.4600676,-0.45313343,0.79974073,-1.7650301
,0.074796446,0.21495032,-0.15381339,-0.20601074,0.08767792,-0.10390351,0.1431922,-0.2857963
,0.44449922,1.5696787,-1.1838412,-1.2647069,0.44867474,-0.42308748,0.7517307,-1.6411669
,0.5714122,1.9290307,-1.460505,-1.4805712,0.5386592,-0.52130055,0.8783826,-1.9877058
,0.3722011,1.0724964,-0.8370244,-0.8886264,0.2664658,-0.21173571,0.47899988,-1.113046
,0.6016728,1.8095821,-1.4439204,-1.3475949,0.4814462,-0.48517457,0.82721466,-1.8493391
,0.54470676,1.6400889,-1.1477376,-1.218183,0.37958556,-0.3869633,0.6848665,-1.705487
,0.5030636,1.4887944,-1.1306206,-1.1245711,0.39896944,-0.2957215,0.6964262,-1.4864941
,0.33968973,1.2551396,-0.8885589,-0.8962478,0.2467983,-0.2613857,0.49520564,-1.3311596
,0.37908953,1.185393,-0.9218851,-0.9338337,0.35669464,-0.35486928,0.58459747,-1.3217773
,0.54581696,1.5500882,-1.2246249,-1.189562,0.3473046,-0.38856095,0.7302195,-1.65413
,0.4745454,1.6921164,-1.2626501,-1.3080738,0.45952037,-0.38297755,0.8043308,-1.79893
,0.46711808,1.6318909,-1.260312,-1.3069127,0.37755504,-0.4288079,0.7494849,-1.720081
,0.5593823,1.7855537,-1.3068761,-1.3770319,0.40444118,-0.45184374,0.78637385,-1.7996978
,0.49566317,1.7107722,-1.2537153,-1.3273671,0.49612412,-0.39880624,0.72932583,-1.7968006
,0.6114705,1.8814237,-1.4053221,-1.4293629,0.5004254,-0.45524713,0.8046197,-1.9214125
,0.7187064,2.1014304,-1.5566853,-1.646591,0.53126174,-0.4945961,0.9071133,-2.2036507
,0.4880659,1.662892,-1.278916,-1.1656855,0.33976495,-0.38254532,0.7315363,-1.7231508
